tube,animal
AKT11,SD0529001
AKT13,SD0529201
AKT12,SD0529101
AKT14,SD0529301
AKT16,SD0529501
AKT55,SD0529204
AKT36,SD0529703
AKT46,SD0530403
AKT61,SD0529603
AKT51,SD0529903
AKT22,SD0530101
AKT40,SD0530202
AKT17,SD0529601
AKT18,SD0529701
AKT24,SD0530301
AKT41,SD0529602
AKT25,SD0530401
AKT59,SD0529704
AKT49,SD0530103
AKT23,SD0530201
AKT58,SD0529504
AKT20,SD0529901
AKT42,SD0529003
AKT38,SD0529902
AKT50,SD0530003
AKT29,SD0529302
AKT54,SD0529304
AKT28,SD0529202
AKT27,SD0529102
AKT60,SD0529804
AKT44,SD0529303
AKT47,SD0530303
AKT53,SD0529104
AKT43,SD0529103
AKT45,SD0529203
AKT34,SD0530302
AKT31,SD0529802
AKT37,SD0530002
AKT35,SD0529803
AKT56,SD0529503
AKT21,SD0530001
AKT57,SD0529305
AKT32,SD0529702
AKT39,SD0530102
AKT30,SD0529502
AKT52,SD0529004
AKT48,SD0530203
AKT19,SD0529801
AKT33,SD0530402
AKT26,SD0529002
AKT62,
AKT67,SD0529505
AKT73,SD0529105
AKT68,SD0529705
AKT75,SD0529307
AKT63,SD0529904
AKT66,SD0530204
AKT70,SD0529604
AKT72,SD0529306
AKT65,SD0530104
AKT69,SD0529805
AKT74,SD0529005
AKT64,SD0530004
AKT71,SD0529205
