tube,animal_info,pack
AKT11,Martin1,Martin
AKT12,Martin2,Martin
AKT13,Martin3,Martin
AKT14,Martin4,Martin
AKT15,Hare1,Hare
AKT16,Hjelmer1,Hjelmer
AKT17,Hjelmer3,Hjelmer
AKT18,Hjelmer4,Hjelmer
AKT19,Gaba1,Gaba
AKT20,Gaba2,Gaba
AKT21,Gaba3,Gaba
AKT22,Gaba4,Gaba
AKT23,Martin1,Martin
AKT24,Martin2,Martin
AKT25,Martin3,Martin
AKT26,Martin4,Martin
AKT27,Hjelmer1,Hjelmer
AKT28,Hjelmer2,Hjelmer
AKT29,Hjelmer4,Hjelmer
AKT30,Hjelmer3,Hjelmer
AKT31,Åge1,Åge
AKT32,Åge2,Åge
AKT33,Åge2,Åge
AKT34,Åge1,Åge
AKT35,Hjelmer4,Hjelmer
AKT36,Hjelmer3,Hjelmer
AKT37,Gaba2,Gaba
AKT38,Gaba1,Gaba
AKT39,Gaba3,Gaba
AKT40,Gaba4,Gaba
AKT41,Hjelmer2,Hjelmer
AKT42,Martin1,Martin
AKT43,Martin2,Martin
AKT44,Martin4,Martin
AKT45,Martin3,Martin
AKT46,Åge2,Åge
AKT47,Åge1,Åge
AKT48,Gaba4,Gaba
AKT49,Gaba3,Gaba
AKT50,Gaba2,Gaba
AKT51,Gaba1,Gaba
AKT52,Martin1,Martin
AKT53,Martin2,Martin
AKT54,Martin4,Martin
AKT55,Martin3,Martin
AKT56,Hjelmer1,Hjelmer
AKT57,Martin4,Martin_Hjelmer
AKT58,Hjelmer1,Hjelmer
AKT59,Hjelmer3,Hjelmer
AKT60,Hjelmer4,Hjelmer
AKT61,Hjelmer2,Hjelmer
AKT62,Snow sample,Snow_sample
AKT63,Gaba1,Gaba
AKT64,Gaba2,Gaba
AKT65,Gaba3,Gaba
AKT66,Gaba4,Gaba
AKT67,Hjelmer1,Hjelmer
AKT68,Hjelmer3,Hjelmer
AKT69,Hjelmer4,Hjelmer
AKT70,Hjelmer2,Hjelmer
AKT71,Martin3,Martin
AKT72,Martin4,Martin
AKT73,Martin2,Martin
AKT74,Martin1,Martin
AKT75,Martin4,Martin
